@relation '212695L1 2-weka.filters.unsupervised.attribute.Remove-R1'

@attribute 'rodzaj ?r�d?a dochodu' numeric
@attribute 'miesieczny dochod netto' string
@attribute 'ktore rolowanie' numeric
@attribute 'kwota kredytu' string
@attribute wiek numeric
@attribute plec {K,M}
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim b?dzie pobiera? doch�d' numeric
@attribute 'op�?nienie sp?aty' numeric

@data
13,3900,5,300,49,M,31,48,0
13,1350,3,300,65,K,112,48,0
98,2000,0,200,31,M,15,48,0
13,936,2,500,60,K,32,48,0
98,3178,0,'388,45',43,M,202,48,0
12,'1952,35',4,'371,01',44,M,5,12,0
11,1680,4,300,57,K,386,48,0
11,2800,4,600,49,K,319,48,0
13,860,1,'783,61',63,K,81,48,0
11,1000,4,800,60,M,64,48,0
11,'1842,86',3,400,56,M,8,48,0
13,1210,0,300,65,K,139,48,0
13,2051,1,500,63,K,139,48,0
12,1000,5,200,24,M,13,25,0
13,1026,5,200,74,K,248,48,0
11,1700,4,250,51,K,306,48,0
98,5000,0,600,41,K,85,48,0
11,1077,1,200,55,K,184,48,0
12,'1375,47',2,300,45,M,7,9,0
16,588,1,600,55,M,423,48,0
16,685,0,200,52,K,42,48,0
13,1240,1,300,58,K,71,48,0
13,'1090,14',4,400,61,K,76,48,0
11,'1077,49',4,300,48,K,372,48,0
13,12220,3,200,57,M,72,48,0
13,'1134,96',1,200,68,K,162,48,0
11,'1286,16',1,300,42,K,118,48,0
16,1389,4,200,63,K,92,48,0
12,2500,3,800,57,M,5,11,0
13,'1291,18',5,'378,91',70,K,80,48,0
17,1200,5,200,25,K,166,48,0
12,1700,5,400,54,K,55,48,0
11,1700,5,200,53,K,206,48,0
11,2700,0,400,30,M,65,48,0
13,1700,4,500,72,M,15,48,0
11,1700,4,600,47,K,90,48,0
13,'1295,37',0,300,71,M,308,48,0
11,1400,0,300,49,M,15,48,0
11,1300,0,300,53,M,453,48,0
11,'1373,34',2,200,30,K,59,48,0
16,703,4,200,57,K,27,48,0
13,910,5,200,66,K,70,48,0
12,1100,1,200,26,K,16,18,0
12,3000,0,700,37,M,8,11,0
11,'2094,17',1,200,53,M,242,48,0
11,'2899,34',1,300,35,K,122,48,0
13,'722,05',4,200,71,K,198,48,0
13,'1801,41',0,'515,96',58,K,38,48,0
13,1870,0,400,72,M,86,48,0
16,1770,5,500,58,M,90,48,0
11,'1037,34',0,200,41,K,62,48,1985
13,'1149,06',0,'397,31',60,K,162,48,0
13,850,4,400,66,K,68,48,0
99,'1393,85',3,200,29,M,5,6,0
12,1500,0,300,21,M,7,9,0
13,1216,5,200,66,K,142,48,0
98,1357,0,300,48,K,2,48,0
12,1000,2,300,50,M,44,48,0
13,'1239,98',2,300,78,K,256,48,0
11,'1721,7',5,'345,97',54,K,121,48,0
11,3898,0,500,36,M,182,48,0
13,'1691,3',1,500,62,K,74,48,0
13,3900,0,400,59,M,115,48,0
11,1459,2,300,26,M,10,48,0
11,'1566,82',1,200,46,M,350,48,0
11,'2709,34',5,'314,83',35,K,182,48,0
11,1800,1,400,51,M,260,48,0
13,'1688,82',3,'298,74',46,M,100,48,1982
13,785,1,200,72,K,65,48,0
13,1050,5,600,61,K,140,48,0
12,'1952,35',0,500,44,M,5,12,0
11,980,0,400,48,K,201,48,0
11,1087,0,370,40,K,239,48,0
13,714,0,200,62,K,223,48,0
11,2261,0,500,33,M,52,48,1982
11,1792,0,500,35,K,62,48,1982
12,'1963,88',4,400,44,M,7,7,0
13,1280,5,290,61,K,18,48,0
11,'800,51',0,250,38,K,21,48,0
13,'1525,46',0,300,62,K,37,48,0
11,2100,0,300,45,M,51,48,0
16,1600,1,200,63,K,24,48,0
12,1447,5,500,29,K,22,24,0
13,2282,1,300,61,K,26,48,0
11,'2368,57',3,'399,72',54,K,411,48,0
13,907,3,200,70,K,235,48,0
11,'932,34',5,200,51,K,396,48,0
13,810,5,300,60,K,34,48,0
11,2505,1,200,40,K,165,48,0
11,'1493,98',4,200,47,K,362,48,0
11,'1730,13',3,400,56,K,194,48,0
13,1425,0,400,60,K,80,48,0
13,'910,33',4,200,73,M,164,48,0
13,1180,0,300,74,M,141,48,0
98,1256,0,400,35,M,70,48,0
13,'1442,43',0,300,79,K,142,48,0
17,1100,3,200,56,K,28,34,0
98,3000,1,400,52,K,86,48,0
11,'3178,76',0,700,37,K,122,48,0
11,3100,0,700,32,K,122,48,0
13,1900,1,400,75,K,122,48,0
11,1443,5,600,43,K,34,48,0
12,1521,1,200,30,M,21,31,0
16,1090,0,400,59,K,78,48,0
13,1900,5,500,56,M,151,48,0
17,728,5,200,27,M,101,48,0
12,'984,34',4,200,53,K,19,21,0
13,2110,5,300,66,M,102,48,0
11,1800,5,500,49,K,54,48,0
13,1573,0,300,67,M,90,48,0
99,1100,2,200,53,K,52,48,0
13,'1601,87',1,'349,66',64,M,46,48,0
16,'634,64',4,300,57,K,137,48,0
12,1634,3,'297,86',22,K,13,16,0
13,2112,0,500,73,M,99,48,0
13,5100,0,800,61,K,29,48,0
16,2100,0,250,57,K,40,48,0
12,1210,0,200,52,M,8,10,0
12,1500,4,300,22,K,5,5,0
12,1300,4,300,26,K,9,12,0
13,1026,4,200,60,K,56,48,0
13,1400,0,700,59,K,247,48,0
13,1536,0,500,74,K,37,48,0
13,1668,5,'395,77',63,K,92,48,0
